Comment,Specialist,Subclass,Severity
Complaints of joint swelling have been confirmed with Conjunctivitis issues.,General Practitioner,Conjunctivitis,1
Patient is experiencing joint swelling due to Skin Rash.,Ophthalmologist,Skin Rash,9
The condition appears to be chest pain combined with Arthritis complications.,Endocrinologist,Arthritis,8
blurry vision symptoms have been observed in this case leading to Skin Rash diagnosis.,General Practitioner,Skin Rash,10
Patient is experiencing itchy skin due to Skin Rash.,Dermatologist,Skin Rash,9
Complaints of itchy skin have been confirmed with Arthritis issues.,Dermatologist,Arthritis,3
Patient is experiencing chest pain due to Cataracts.,Dermatologist,Cataracts,8
Complaints of anxiety have been confirmed with Skin Rash issues.,General Practitioner,Skin Rash,10
blurry vision symptoms have been observed in this case leading to Refractive Errors diagnosis.,Orthopedist,Refractive Errors,8
The condition appears to be high blood sugar combined with Diabetes complications.,General Practitioner,Diabetes,7
Patient is experiencing anxiety due to Diabetes.,Endocrinologist,Diabetes,4
Complaints of chest pain have been confirmed with Arthritis issues.,Endocrinologist,Arthritis,3
Complaints of high blood sugar have been confirmed with Cataracts issues.,Dermatologist,Cataracts,10
Patient is experiencing blurry vision due to Refractive Errors.,Cardiologist,Refractive Errors,2
joint swelling symptoms have been observed in this case leading to Cataracts diagnosis.,General Practitioner,Cataracts,1
Complaints of blurry vision have been confirmed with Conjunctivitis issues.,Endocrinologist,Conjunctivitis,2
Patient is experiencing itchy skin due to Refractive Errors.,Dermatologist,Refractive Errors,3
anxiety symptoms have been observed in this case leading to Conjunctivitis diagnosis.,Endocrinologist,Conjunctivitis,7
Patient is experiencing chest pain due to Cataracts.,Psychiatrist,Cataracts,9
Complaints of chest pain have been confirmed with Arthritis issues.,General Practitioner,Arthritis,7
chest pain symptoms have been observed in this case leading to Diabetes diagnosis.,Cardiologist,Diabetes,10
Patient is experiencing blurry vision due to Diabetes.,Dermatologist,Diabetes,6
blurry vision symptoms have been observed in this case leading to Arthritis diagnosis.,Dermatologist,Arthritis,6
Complaints of blurry vision have been confirmed with Refractive Errors issues.,Dermatologist,Refractive Errors,3
The condition appears to be high blood sugar combined with Arthritis complications.,Endocrinologist,Arthritis,5
Complaints of chest pain have been confirmed with Arthritis issues.,General Practitioner,Arthritis,3
Complaints of chest pain have been confirmed with Diabetes issues.,Orthopedist,Diabetes,4
anxiety symptoms have been observed in this case leading to Arthritis diagnosis.,General Practitioner,Arthritis,10
The condition appears to be chest pain combined with Conjunctivitis complications.,Ophthalmologist,Conjunctivitis,8
The condition appears to be anxiety combined with Conjunctivitis complications.,Ophthalmologist,Conjunctivitis,6
Patient is experiencing joint swelling due to Skin Rash.,Dermatologist,Skin Rash,1
high blood sugar symptoms have been observed in this case leading to Cataracts diagnosis.,Endocrinologist,Cataracts,4
The condition appears to be chest pain combined with Skin Rash complications.,Cardiologist,Skin Rash,10
Complaints of itchy skin have been confirmed with Conjunctivitis issues.,Dermatologist,Conjunctivitis,9
anxiety symptoms have been observed in this case leading to Cataracts diagnosis.,Psychiatrist,Cataracts,5
high blood sugar symptoms have been observed in this case leading to Refractive Errors diagnosis.,Psychiatrist,Refractive Errors,4
Patient is experiencing joint swelling due to Conjunctivitis.,Cardiologist,Conjunctivitis,8
Complaints of itchy skin have been confirmed with Conjunctivitis issues.,Cardiologist,Conjunctivitis,4
joint swelling symptoms have been observed in this case leading to Heart Disease diagnosis.,General Practitioner,Heart Disease,2
Complaints of anxiety have been confirmed with Skin Rash issues.,Psychiatrist,Skin Rash,10
Complaints of blurry vision have been confirmed with Diabetes issues.,Orthopedist,Diabetes,3
Patient is experiencing blurry vision due to Heart Disease.,General Practitioner,Heart Disease,5
joint swelling symptoms have been observed in this case leading to Heart Disease diagnosis.,Dermatologist,Heart Disease,9
anxiety symptoms have been observed in this case leading to Arthritis diagnosis.,Ophthalmologist,Arthritis,3
