Comment,Specialist,Subclass,Severity
I have persistent stiffness in my joints. I've been experiencing this since last winter. The intensity is moderate and uncomfortable. It affects my ability to perform daily tasks. I feel better with over-the-counter pain relief. It tends to get worse after I engage in physical activity.,Rheumatology,Osteoarthritis,8
I struggle to remember things and sometimes forget where I am. I've been experiencing this for a week. The pain is throbbing and seems to worsen after physical activity.,Neurologist,Brain Tumors,2
I'm having trouble digesting food properly. The pain is located in the on the left side of the abdomen. It comes and goes in waves. The intensity is moderate and uncomfortable. I have difficulty performing daily activities. No relief with any treatment tried so far.,Surgical Gastroenterology,Colorectal Cancer,2
My mobility is impaired due to muscle weakness and joint issues. I've been experiencing this for a month. The condition is acute and seems to worsen with seasonal changes.,Geriatrician,Falls and Fractures,8
I have persistent stiffness in my joints. I've been experiencing this since last winter. The intensity is extreme and unbearable. I have difficulty sleeping due to the pain. Hot or cold compresses provide temporary relief. It tends to get worse after a stressful day.,Rheumatology,Vasculitis,2
"Post-thymectomy, I experience persistent soreness and occasional sharp pains. I've been experiencing this for several months. The condition is painful and seems to worsen during recovery.",Cardiothoracic Surgeon,Valve repair/replacement,6
I have osteoarthritis affecting my knees. I've been dealing with this for a few days. The intensity is severe and debilitating. I struggle with basic movements. Eases with rest and proper care. It tends to get worse following injury or trauma..,Orthopedics,Carpal Tunnel Syndrome,2
I am experiencing frequent urination. I've been experiencing this for a week. The condition is scaly and seems to worsen after drinking alcohol.,Urology,Testicular Cancer,2
I'm experiencing unusual bleeding and bruising easily. I've been experiencing this for a few days. The condition is mild and seems to worsen during high humidity.,Hepatologist,Hepatic Encephalopathy,2
I'm experiencing pain in my testicles. I've been experiencing this for a month. The condition is itchy and seems to worsen after physical activity.,Vascular Surgery,Cryptorchidism,3
My child has a cleft lip. since birth. Intensity: mild. It affects daily activities.. No relief from treatments.. Worsens due to genetics..,Pediatric Surgery,Pediatric Tumors,8
My hands tremble when I'm trying to do fine tasks. I've been experiencing this for a few days. The pain is persistent and seems to worsen at night.,Neurologist,Amyotrophic Lateral Sclerosis (ALS),7
I am looking for replantation surgery for my severed finger. I've been dealing with this for a year. The intensity is mild but persistent. It affects my daily activities significantly. I feel better with physical therapy. It tends to get worse following a surgical procedure..,Plastic Surgery,Diabetic Foot & Chronic Wounds,10
My blood pressure is constantly high despite medication. I've been experiencing this since yesterday. The condition is persistent and seems to worsen climbing stairs.,Cardiology,Peripheral artery disease,5
I experience frequent coughing fits. I've been experiencing this since childhood. The intensity is extreme and unbearable. I can't engage in physical activities I used to enjoy. The symptoms are slightly eased with medication. It tends to get worse after a respiratory infection..,Pulmonology,Asthma,4
I feel short of breath even with minimal activity. I've been experiencing this for a year. The intensity is mild but persistent. I struggle with basic movements like walking or climbing stairs. Using a nebulizer provides temporary relief. It tends to get worse during seasonal changes..,Pulmonology,Pulmonary Fibrosis,9
My child has frequent allergic reactions. for a few days. Intensity: mild. It causes discomfort.. Better with specific treatments.. Worsens after a stressful event..,Pediatrics,Allergies,5
I experience frequent coughing fits. I've been experiencing this for a year. The intensity is extreme and unbearable. It affects my ability to perform daily tasks. There is no significant relief despite treatments. It tends to get worse when I come into contact with allergens..,Pulmonology,Pulmonary Embolism,5
I have blurred vision and difficulty focusing. I've been experiencing this for several months. The condition is numb and seems to worsen due to lack of sleep.,Diabetologist,Dyslipidemia,9
I experience regular bouts of shortness of breath. I've been experiencing this for several months. The intensity is severe and debilitating. I can't engage in physical activities I used to enjoy. There is no significant relief despite treatments. It tends to get worse when exposed to cold air..,Pulmonology,Pulmonary Embolism,9
I have irregular and painful menstrual cycles. I've been experiencing this for a month. The condition is irregular and seems to worsen after eating certain foods.,Obstetrics & Gynecology,Preeclampsia,6
I have a cleft lip that needs surgical correction. I've been dealing with this for a year. The intensity is severe and debilitating. It impacts my self-esteem and confidence. I feel better with physical therapy. It tends to get worse after trauma or accidents..,Plastic Surgery,Cancer Reconstruction,4
"After the pericardial window creation, I have persistent discomfort and occasional sharp pain. I've been experiencing this for several months. The condition is post-surgical and seems to worsen after surgery.",Cardiothoracic Surgeon,Thymectomy,4
Pulmonary thromboendarterectomy resulted in a feeling of heaviness and occasional discomfort. I've been experiencing this for several months. The condition is painful and seems to worsen during recovery.,Cardiothoracic Surgeon,Maze procedure for atrial fibrillation,10
There is swelling in my jaw after surgery. I've been experiencing this for a month. The condition is red and inflamed and seems to worsen after eating certain foods.,Dental/OMFS,Facial trauma,8
I've been having difficulty speaking and my vision is blurred. I've been experiencing this for several months. The pain is sharp and seems to worsen when I'm tired.,Neurologist,Amyotrophic Lateral Sclerosis (ALS),1
I've had episodes of sudden and intense chest pain. I've been experiencing this a few days. The condition is sharp and seems to worsen lying down.,Cardiology,Endocarditis,9
I am looking for replantation surgery for my severed finger. I've been dealing with this for the past few years. The intensity is mild but persistent. I have difficulty performing routine tasks. There is no significant relief despite treatments. It tends to get worse due to complications from previous treatments..,Plastic Surgery,Microsurgery & Replantation,4
I get heartburn and indigestion almost every day. I've been experiencing this for a few days. The pain is cramping and seems to worsen at night.,Gastroenterologist,Celiac Disease,9
Bursitis is inflaming my shoulder. I've been dealing with this for a few days. The intensity is moderate and uncomfortable. It impacts my ability to work. Gets better with physical therapy. It tends to get worse due to repetitive stress..,Orthopedics,Bone Spurs,4
I'm haunted by past trauma and flashbacks. I've been experiencing this for a few days. The intensity is severe and debilitating. I have difficulty maintaining relationships. There is no significant relief despite various treatments. It tends to get worse following traumatic events..,Psychiatry,Attention Deficit Hyperactivity Disorder (ADHD),1
I had to undergo multiple imaging tests. I have been experiencing symptoms for a year. I'm still worried despite the clear results. The outcome was that The scan showed minor abnormalities.. The preparation instructions were clear.,Radiology,Ultrasound Imaging,9
I have a persistent sore throat and difficulty swallowing. I've been experiencing this for several months. The pain is persistent and seems to worsen in the morning.,Gastroenterologist,Gallstones,9
I've developed unexplained bleeding from my gums. I've been experiencing this for a few days. The pain is burning and seems to worsen after consuming dairy products.,Oncologist,Brain Tumors,6
My stools have been floating and are greasy. I've been experiencing this for a few days. The pain is gnawing and seems to worsen after drinking alcohol.,Gastroenterologist,Liver Cirrhosis,7
I am managing chronic pain with physical therapy. I've been dealing with this since last winter. The intensity is mild but persistent. I struggle with work-related tasks due to the condition. Assistive devices provide some relief. It tends to get worse after engaging in strenuous activities..,Physical Medicine and Rehabilitation,Orthopedic Rehabilitation,3
I struggle with severe restriction and binging behaviors. I've been experiencing this since last winter. The intensity is moderate and uncomfortable. It severely impacts my ability to function daily. There is no significant relief despite various treatments. It tends to get worse after major life changes..,Psychiatry,"Sleep Disorders (e.g., Insomnia, Narcolepsy)",8
