Comment,Specialist,Subclass,Severity
I've been having frequent nosebleeds and sinus infections. I've been experiencing this for several months. The condition is painful and seems to worsen due to dry air.,ENT Specialist,Chronic Cough,9
There's been a head injury. for a month. Intensity: mild. It affects daily activities.. Relief with medication.. Worsens due to genetics..,Pediatric Surgery,Pediatric Tumors,10
My blood pressure is constantly high despite medication. I've been experiencing this a few hours. The condition is dull and seems to worsen emotional stress.,Cardiology,Valvular heart disease,1
My urine has a strange color and odor. I've been experiencing this for several months. The condition is painful and seems to worsen when I get stressed.,Vascular Surgery,Kidney Stones,2
My reproductive health is being affected by hormonal imbalances. I've been experiencing this for a week. The condition is difficult and seems to worsen following a sedentary lifestyle.,Endocrinologist,Metabolic syndrome,5
"My face is always red and inflamed, especially my cheeks. I've been experiencing this for a week. The condition is red and inflamed and seems to worsen after using a new skincare product.",Dermatologist,Vitiligo,9
The imaging process was painless and fast. I have been experiencing symptoms since last year. I felt relieved after the results. The outcome was that The scan showed minor abnormalities.. I was given a contrast injection.,Radiology,Bone Densitometry (DEXA Scan),3
I'm haunted by past trauma and flashbacks. I've been experiencing this for a month. The intensity is severe and debilitating. It limits my ability to engage in social activities. There is no significant relief despite various treatments. It tends to get worse when faced with specific phobias..,Psychiatry,"Anxiety Disorders (e.g., Generalized Anxiety Disorder, Panic Disorder)",1
Pulmonary thromboendarterectomy resulted in a feeling of heaviness and occasional discomfort. I've been experiencing this for a week. The condition is sore and seems to worsen due to physical activity.,Cardiothoracic Surgeon,Thymectomy,5
"There are red, inflamed patches on my scalp. I've been experiencing this for a year. The condition is dry and seems to worsen after eating certain foods.",Dermatologist,Moles and Birthmarks,6
My skin feels rough and looks aged. I've been experiencing this for several months. The condition is painful and seems to worsen after eating certain foods.,Dermatologist,Psoriasis,1
I've noticed some vision problems that are worsening. I've been experiencing this for a year. The condition is numb and seems to worsen after consuming caffeinated beverages.,Diabetologist,Hypoglycemia,1
There is swelling in my jaw after surgery. I've been experiencing this for a few days. The condition is painful and seems to worsen after using a new dental product.,Dental/OMFS,Bone grafting,10
There's persistent fatigue and weakness despite rest. I've been experiencing this for several months. The condition is acute and seems to worsen when I overeat.,Hepatologist,Hepatitis,3
There's swelling in my abdomen that's getting worse. I've been experiencing this for many years. The condition is persistent and seems to worsen cold weather.,Cardiology,Pericarditis,5
I am undergoing pediatric rehabilitation for a developmental condition. I've been dealing with this for a couple of weeks. The intensity is severe and debilitating. It limits my ability to engage in social activities. There is no significant relief despite treatments. It tends to get worse due to underlying health conditions..,Physical Medicine and Rehabilitation,Amputation Rehabilitation,5
My eyes are constantly dry and uncomfortable. I've been experiencing this for a month. The condition is irritated and seems to worsen when exposed to bright lights.,Ophthalmologist,Diabetic Retinopathy,10
The results were clear and informative. I have been experiencing symptoms for a couple of weeks. I'm still worried despite the clear results. The outcome was that No significant findings were observed.. The preparation instructions were clear.,Radiology,Ultrasound Imaging,1
I need help recovering from a recent stroke. I've been dealing with this for a few days. The intensity is mild but persistent. I have difficulty with basic movements. There is no significant relief despite treatments. It tends to get worse after intensive physical therapy sessions..,Physical Medicine and Rehabilitation,Chronic Pain Management,10
I had an ectopic pregnancy recently. I've been experiencing this for a week. The condition is painful and seems to worsen after eating certain foods.,Obstetrics & Gynecology,Ectopic Pregnancy,6
I've been told I have cervical dysplasia. I've been experiencing this for a month. The condition is persistent and seems to worsen when stressed.,Obstetrics & Gynecology,Ovarian Cysts,8
I am recovering from a recent fracture. I've been dealing with this since childhood. The intensity is moderate and uncomfortable. It impacts my ability to work. Eases with rest and proper care. It tends to get worse after physical exertion..,Orthopedics,"Ligament Injuries (ACL, MCL Tears)",9
I'm dealing with chronic wounds on my foot due to diabetes. I've been dealing with this since last winter. The intensity is mild but persistent. It affects my daily activities significantly. There is no significant relief despite treatments. It tends to get worse due to complications from previous treatments..,Plastic Surgery,Maxillofacial Surgery,3
I experience severe ear itching and discomfort. I've been experiencing this for a week. The condition is dizzying and seems to worsen following a cold.,ENT Specialist,Hoarseness,10
I'm facing pelvic pain from PID. I've been experiencing this for a year. The condition is irregular and seems to worsen after physical activity.,Obstetrics & Gynecology,Pelvic Organ Prolapse,8
I have persistent bad breath despite brushing regularly. I've been experiencing this for a few days. The condition is dry and seems to worsen in cold weather.,Dental/OMFS,Sleep apnea surgery,10
I'm anxious about the scan results. I have been experiencing symptoms for a year. I felt relieved after the results. The outcome was that The scan showed minor abnormalities.. Post-scan care was straightforward.,Radiology,Ultrasound Imaging,4
I struggle with severe restriction and binging behaviors. I've been experiencing this for a month. The intensity is mild but persistent. I struggle with work and personal responsibilities. Therapy and medication provide some relief. It tends to get worse following traumatic events..,Psychiatry,"Eating Disorders (e.g., Anorexia Nervosa, Bulimia Nervosa)",9
I am seeking cosmetic surgery to improve my appearance. I've been dealing with this for a year. The intensity is severe and debilitating. I struggle with physical limitations due to the condition. I feel better with physical therapy. It tends to get worse after trauma or accidents..,Plastic Surgery,Lymphedema,5
Plantar fasciitis is making it hard to walk. I've been dealing with this since childhood. The intensity is severe and debilitating. I have difficulty with physical activities. No significant relief found. It tends to get worse during weather changes..,Orthopedics,Rotator Cuff Tear,7
Diagnosed with Hirschsprung's disease. for a month. Intensity: mild. It limits mobility.. Better with specific treatments.. Worsens due to genetics..,Pediatric Surgery,Inguinal Hernias,3
I get easily winded when climbing stairs. I've been experiencing this for a week. The intensity is severe and debilitating. I struggle with basic movements like walking or climbing stairs. Avoiding certain allergens helps manage the symptoms. It tends to get worse when I come into contact with allergens..,Pulmonology,Sleep Apnea,9
I'm managing gestational diabetes during my pregnancy. I've been experiencing this for a few days. The condition is severe and seems to worsen after physical activity.,Obstetrics & Gynecology,Gestational Diabetes,7
Childhood obesity management is needed. for a month. Intensity: mild. It affects daily activities.. No significant relief found.. Worsens during growth spurts..,Pediatrics,Growth and Development Monitoring,1
I've noticed a new mole on my arm that's growing. I've been experiencing this for a few days. The condition is red and inflamed and seems to worsen after eating certain foods.,Dermatologist,Acne,6
I had an ectopic pregnancy recently. I've been experiencing this for a month. The condition is mild and seems to worsen after physical activity.,Obstetrics & Gynecology,Fibroids,7
I've developed small white patches on my skin. I've been experiencing this for a month. The condition is scaly and seems to worsen when I get stressed.,Dermatologist,Psoriasis,9
Asthma symptoms are worsening in my child. for a week. Intensity: extreme. It requires regular check-ups.. Better with specific treatments.. Worsens during growth spurts..,Pediatrics,Asthma,4
I'm dealing with persistent wheezing. I've been experiencing this for the past few years. The intensity is moderate and uncomfortable. It affects my ability to perform daily tasks. There is no significant relief despite treatments. It tends to get worse when exposed to cold air..,Pulmonology,Bronchitis,8
My gums are bleeding every time I brush. I've been experiencing this for a week. The condition is scaly and seems to worsen after eating certain foods.,Dental/OMFS,Cleft lip and palate repair,5
"My blood sugar levels are uncontrollable, even with insulin. I've been experiencing this for a month. The condition is itchy and seems to worsen after consuming caffeinated beverages.",Diabetologist,Hyperglycemia,6
"My blood sugar levels are inconsistent, leading to episodes of hypoglycemia. I've been experiencing this for a month. The condition is difficult and seems to worsen after a recent illness.",Endocrinologist,Adrenal Disorders,8
The images revealed an underlying issue. I have been experiencing symptoms for a year. I was reassured by the doctor's explanation. The outcome was that It ruled out any major concerns.. Post-scan care was straightforward.,Radiology,Mammography,10
I have severe burns on my arms and legs from an accident. I've been experiencing this for a few hours. The condition is weak and seems to worsen after an accident.,Emergency Medicine Specialist,Burns,9
I experience delusions and hallucinations. I've been experiencing this since last winter. The intensity is extreme and overwhelming. I struggle with work and personal responsibilities. Therapy and medication provide some relief. It tends to get worse when faced with specific phobias..,Psychiatry,"Sleep Disorders (e.g., Insomnia, Narcolepsy)",1
I am receiving geriatric rehabilitation for age-related mobility issues. I've been dealing with this for a few days. The intensity is moderate and uncomfortable. It limits my ability to engage in social activities. Assistive devices provide some relief. It tends to get worse after intensive physical therapy sessions..,Physical Medicine and Rehabilitation,Geriatric Rehabilitation,2
